,  Job No.,Date Received Cust. PO,Customer,EOG & STSB PO,Customer PO,Items,Selling Price Currency,Selling Price,Customer Terms,Inspection Report    No.,Sales Order Ack.,Customer Expected Date,Goods Ready Date,Inv. Date,Exact Inv.,Exact DO.,EOG & STSB DO.,Service Report,Sales Person,Exact PO Date,PO Faxed Out Date,Exact PO No.,Principal / Suppliers,Code,Currency, Buying Price ,Principal / Supplier Terms,Principal / Supplier Order Ack.,Schedule Ship Date,Principal / Supplier Actual Ship Date,Principal / Supplier Invoice No.,Payment to Principal / Supplier Date,AWB No.,Goods Received Date,Duty & Tax RM,Freight Cost RM,Remarks,Total Job,Delivery Schedule Not Met,Purchasing Objective 1,Principal / Supplier Delivery Objectives,Purchasing Objectives Overdue Days,Project ,Date of Approval Drawing,Purchasing Objective 2,Malaysia Holidays,Description
L,0001/16,4-Jan-16,Alam Hijau Integrasi (M) Sdn Bhd,-,00607056,Bacharach-Calibration charges for PCA3,RM, 900.00 ,COD,IR0001/16,SO0001/16,4-Jan-16,4-Jan-16,4-Jan-16,10498,10498,-,-,omar,,,,,,,,,,,,,,,,,,,1,0,0,0,-30265,0,0,0 ,1-Jan-16,New Year's Day
L,0002/16,4-Jan-16,Hijra' Oil & Gas Sdn Bhd,-,PO/HSB/040116/064,"Calibration charges for GasAlertMicroClip XT, Replacement Oxygen sensor",RM," 1,700.00 ",COD,IR0002/16,SO0002/16,5-Jan-16,5-Jan-16,5-Jan-16,10499,10499,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30265,0,0,0 ,25-Jan-16,Thaipusam (Replacement on Sunday 24/1/2016)
T,0003/16,4-Jan-16,PTT Exploration and Production Public Company Limited,-,3400009062,"Sensing Tape,Delmar",EUR," 2,750.00 ",30 Days ,IR0003/16,SO0003/16,4-Feb-16,2-Feb-16,2-Feb-16,10628,,-,-,rahimah,5-Jan-2016,5-Jan-2016,3532,Innov Analysis Systems ,INNOV,EUR," 1,657.50 ",30 Days,2016-2419,4-Feb-16,29-Jan-16,,,FEDEX#8049 8933 4595,1-Feb-16, - ,972.24,,1,0,0,1,2,0,0,0 ,8-Feb-16,Chinese New Year
L,0004/16,5-Jan-16,MSM Perlis Sdn Bhd ,-,3002000630,Calibration charges for GasAlertMicroClip ,RM , 900.00 ,COD,IR0004/16,SO0004/16,,,,,,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30266,0,0,0 ,9-Feb-16,Chinese New Year 
T,0005/16,5-Jan-16,Plasmetic Trading Co ,-,Verbal ,BW GasAlertMicroClip XL ,RM ," 4,800.00 ",COD,IR0005/16,SO0005/16,8-Jan-16,8-Jan-16,8-Jan-16,10513,10513,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30266,0,0,0 ,2-May-16,Labour Day (Replacement on Sunday 1/5/2016)
T,0006/16,5-Jan-16,Beaudrey Asia Sdn Bhd ,-,2015-05-20025 ,BW GasAlertMicroClip XT ,RM," 4,940.00 ",COD,IR0006/16,SO0006/16,15-Feb-16,15-Feb-16,15-Feb-16,10658,10658,-,-,rahimah ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30266,0,0,0 ,20-May-16,Wesak Day (Replacement on Saturday 21/5/2016)
L,0007/16,5-Jan-16,Polyscientific Enterprise Sdn Bhd ,-,PO-P1009533,Calibration charges for GasAlertExtreme ,RM , 255.00 ,30 Days ,IR0007/16,SO0007/16 ,12-Jan-16,12-Jan-16,12-Jan-16,10526,10526,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30266,0,0,0 ,3-Jun-16,Malaysian King's Birthday (Replacement on Saturday 4/6/2016) 
L,0008/16,6-Jan-16,JSM Enterprise ,-,Verbal ,Calibration charges for GasAlertMicroClip ,RM , 300.00 ,COD,IR0008/16,SO0008/16,6-Jan-16,6-Jan-16,6-Jan-16,10503,10503,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30267,0,0,0 ,22-Jun-16,Nurul Al-Quran 
T,0009/16,6-Jan-16,Exact Oil & Gas Sdn Bhd (Petronas Gas Berhad) ,PO 002/16,4120132987,General Monitors - Flammable Gas Detection ,RM ," 55,074.60 ",30 Days ,IR0009/16,SO0009/16,17-Feb-16,3-Feb-16,3-Feb-16,10630,,,-,hilaliah,7-Jan-2016,7-Jan-2016,3535,General Monitors,GM,USD," 7,068.60 ",30 Days,400437836,27-Jan-16,26-Jan-16,,,FEDEX#6590 9556 2798,29-Jan-16,1935.29,992.82,,1,0,0,0,2,0,0,0 ,6-Jul-16,Hari Raya Puasa
T,0010/16,6-Jan-16,Exact Oil & Gas Sdn Bhd (Petronas Chemicals MTBE Sdn Bhd) ,PO 001/16,4120132907,General Monitors - IR 400-IR Detector,RM," 22,894.75 ",30 Days ,IR0010/16,SO0010/16,17-Feb-16,3-Feb-16,3-Feb-16,10631,,,-,hilaliah,7-Jan-2016,7-Jan-2016,3534,General Monitors,GM,USD," 3,621.00 ",30 Days,400437832,27-Jan-16,26-Jan-16,,,FEDEX#6590 9556 2765,29-Jan-16,989.83,712.01,,1,0,0,0,2,0,0,0 ,7-Jul-16,Hari Raya Puasa 
T,0011/16,7-Jan-16,Ingersoll-Rand Malaysia Co. Sdn Bhd ,-,PO88004,Michell - Dew Point Transmitter ,RM ," 76,000.00 ",30 Days ,IR0011/16,SO0011/16,18-Feb-16,28-Apr-16,28-Apr-16,11043,11043,-,-,syairah,7-Jan-2016,7-Jan-2016,3536,General Monitors,GM,USD," 10,491.60 ",30 Days,400437845,1-Feb-16,27-Jan-16,,,FEDEX#6590 9556 2868,2-Feb-16,2948.4,2991.77,"Inv#11043 Dtd: 28/4/2016 (Partial-RM16,000.00)",1,1,0,0,1,0,0,0 ,31-Aug-16,National Day 
T,0011/16,7-Jan-16,Ingersoll-Rand Malaysia Co. Sdn Bhd ,-,,,,,,,,,5-May-16,5-May-16,11072,11072,-,-,hilaliah,7-Jan-2016,7-Jan-2016,3536-A,Michell Instruments Ltd ,MICH ,GBP ," 1,432.20 ",30 Days,A48706,21-Jan-16,22-Jan-16,,,FEDEX#7754 7562 5327,26-Jan-16,581.67,422.36,"Inv#11072 Dtd: 5/5/2016 (Complete-RM60,000.00)",0,0,0,1,1,0,0,0 ,12-Sep-16,Hari Raya Haji
T,0012/16,7-Jan-16,Supreme Evershine Sdn Bhd ,-,3217,BW GasAlertMicroClip XL ,RM ," 2,350.00 ",COD,IR0012/16,SO0012/16,7-Jan-16,7-Jan-16,7-Jan-16,10507,10507,-,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,16-Sep-16,Malaysia Day
L,0013/16,7-Jan-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Methanol Sdn Bhd) ,5252/2016,3020159910,Hse Equipment Maintenance & Calibration,RM," 3,015.00 ",30 Days ,IR0013/16,SO0013/16,18-Jan-16,18-Jan-16,18-Jan-16,10544,10544,2016/624,-,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,3-Oct-16,Awal Muharam (Replacement on Sunday 2/10/2016) 
T,0014/16,7-Jan-16,Polyscientific Enterprise Sdn Bhd ,-,PO-P1009544,BW GasAlertMicroClip XL ,RM," 2,210.00 ",30 Days ,IR0014/16,SO0014/16 ,7-Jan-16,7-Jan-16,7-Jan-16,10509,10509,-,-,kaili ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,28-Oct-16,Deepavali (Replacement on Saturday 29/10/2016) 
S,0015/16,7-Jan-16,Sedia Teguh Sdn Bhd (Sarawak Shell Berhad)  ,5242/2016/SO,4512490226,"Engineer, Offshore, Portable Gas Detector - Wear & Tear, Portable Gas Detector - Missing/Damaged, Battery (Personal Gas Detector) ",RM ," 18,640.00 ",30 Days ,IR0015/16,SO0015/16,20-Apr-16,20-Apr-16,20-Apr-16,11000,,,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,12-Dec-16,Birthday of Sultan Selangor (Replacement on Sunday 11/12/2016) 
T,0016/16,7-Jan-16,USS Safety Supply Sdn Bhd ,-,USS03557 ,BW Clip Single Gas Detector H2S,RM , 800.00 ,COD,IR0016/16,SO0016/16,7-Jan-16,7-Jan-16,7-Jan-16,10510,,-,-,rahimah ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,13-Dec-16,Prophet Muhammad's Birthday (Replacement on Monday 12/12/2016) 
L,0017/16,7-Jan-16,Sime Darby Plantation Sdn Bhd ,-,4300313899,Calibration charges for GasAlertMax XT II ,RM , 300.00 ,30 Days ,IR0017/16,SO0017/16,8-Jan-16,8-Jan-16,8-Jan-16,10516,10516,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,26-Dec-16,Christmas Day (Replacement on Sunday 25/12/2016
L,0018/16,7-Jan-16,STL Drilling Sdn Bhd ,-,PO-3012,Calibration charges for GasAlertMicroClip XL ,RM , 300.00 ,COD,IR0018/16,SO0018/16,12-Jan-16,12-Jan-16,12-Jan-16,10525,10525,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,,
T,0019/16,7-Jan-16,Tanjung Bin Energy Sdn Bhd ,-,4500125534,Hach - Orbisphere 3100 Optical Dissolved Oxygen Analyzer ,RM ," 56,850.00 ",COD,IR0019/16,SO0019/16,30-Mar-16,30-Mar-16,30-Mar-16,10902,10902,-,-,guoyi,27-Jan-2016,27-Jan-2016,3551-R1,Seni Kaliber Sdn Bhd ,MISC,RM," 49,353.60 ",COD,-,21-Mar-16,21-Mar-16,I1603234,,-,21-Mar-16,-,-,,1,0,1,0,14,0,0,0 ,,
T,0020/16,7-Jan-16,CETM Electrotest Sdn Bhd ,-,303502,BW GasAlertMaxXT II ,RM," 13,600.00 ",30 Days ,IR0020/16,SO0020/16,11-Jan-16,11-Jan-16,11-Jan-16,10518,10518,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,,
L,0021/16,7-Jan-16,An Nur Marine Services (M) Sdn Bhd ,-,Verbal ,Calibration charges for Qrae II ,RM , 300.00 ,COD,IR0021/16,SO0021/16,7-Jan-16,7-Jan-16,7-Jan-16,10512,,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30268,0,0,0 ,,
L,0022/16,8-Jan-16,Gamuda Water Sdn Bhd ,-,GW/B014(16),Calibration charges for Gas Tester ,RM, 300.00 ,COD,IR0022/16,SO0022/16,3-Feb-16,3-Feb-16,3-Feb-16,10633,10633,-,-,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30269,0,0,0 ,,
L,0023/16,8-Jan-16,Riverstone Resources Sdn Bhd ,-,POR-16000066,"Calibration charges for GasAlertMax XT II, Oxygen Sensor ",RM ," 1,230.00 ",COD,IR0023/16,SO0023/16,8-Jan-16,8-Jan-16,8-Jan-16,10514,10514,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30269,0,0,0 ,,
L,0024/16,8-Jan-16,Millivest Sdn Bhd ,-,28709,Calibration charges for GasAlertMax XT II ,RM , 300.00 ,30 Days ,IR0024/16,SO0024/16,13-Jan-16,13-Jan-16,13-Jan-16,10532,10532,-,-,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30269,0,0,0 ,,
T,0025/16,8-Jan-16,AGT Supply Enterprise ,-,AGT/PO/2016/001/EASB,BW GasAlertMicroClip XL ,RM," 2,398.00 ",COD,IR0025/16,SO0025/16,11-Jan-16,11-Jan-16,11-Jan-16,10519,,-,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30269,0,0,0 ,,
